Place,Division Place,Division Entrants,Division,Age,Sex,State/Country,Time (seconds),Mile pace (seconds),From USA,Maine,Time (minutes)
1674,138,316,M3034,31,M,MA,3046.1,491,Yes,Away,50.768
1675,139,316,M3034,32,M,ME,3046.6,491,Yes,Maine,50.777
1676,85,397,F2529,28,F,ME,3046.9,491,Yes,Maine,50.782
1677,140,316,M3034,30,M,ME,3047.4,491,Yes,Maine,50.79
1678,145,201,M1519,19,M,ME,3047.5,491,Yes,Maine,50.792
1679,86,397,F2529,28,F,ME,3047.6,491,Yes,Maine,50.793
1680,49,325,F4549,48,F,ME,3048.3,491,Yes,Maine,50.805
1681,57,394,F4044,41,F,ME,3048.5,491,Yes,Maine,50.808
1682,60,235,M5559,58,M,ME,3049,491,Yes,Maine,50.817
1683,87,471,F3034,32,F,ME,3049.1,491,Yes,Maine,50.818
1684,122,333,M5054,53,M,ME,3049.2,491,Yes,Maine,50.82
1685,52,237,F2024,22,F,ME,3049.7,491,Yes,Maine,50.828
1686,43,174,F1519,17,F,ME,3050.1,491,Yes,Maine,50.835
1687,163,412,M4044,44,M,MA,3050.3,491,Yes,Away,50.838
1688,149,357,M4549,49,M,ME,3051,491,Yes,Maine,50.85
1689,152,335,M3539,37,M,ME,3051.4,492,Yes,Maine,50.857
1690,58,426,F3539,37,F,ME,3051.4,492,Yes,Maine,50.857
1691,115,186,M2024,21,M,ME,3051.8,492,Yes,Maine,50.863
1692,59,426,F3539,38,F,ME,3052,492,Yes,Maine,50.867
1693,61,235,M5559,56,M,ME,3052,492,Yes,Maine,50.867
1694,123,333,M5054,50,M,ME,3052.1,492,Yes,Maine,50.868
1695,88,471,F3034,34,F,AL,3052.3,492,Yes,Away,50.872
1696,124,333,M5054,51,M,ME,3052.5,492,Yes,Maine,50.875
1697,58,394,F4044,40,F,MA,3052.8,492,Yes,Away,50.88
1698,62,235,M5559,57,M,ME,3053.3,492,Yes,Maine,50.888
1699,59,394,F4044,42,F,ME,3053.5,492,Yes,Maine,50.892
1700,53,237,F2024,23,F,ME,3054.2,492,Yes,Maine,50.903
1701,116,186,M2024,20,M,ME,3055,492,Yes,Maine,50.917
1702,60,426,F3539,37,F,CANADA,3055.1,492,No,Away,50.918
1703,164,412,M4044,41,M,ME,3055.2,492,Yes,Maine,50.92
1704,54,237,F2024,24,F,ME,3055.7,492,Yes,Maine,50.928
1705,165,412,M4044,43,M,MA,3055.8,492,Yes,Away,50.93
1706,26,144,M6064,61,M,ME,3056.5,492,Yes,Maine,50.942
1707,63,235,M5559,59,M,MA,3056.8,492,Yes,Away,50.947
1708,141,316,M3034,33,M,ME,3056.8,492,Yes,Maine,50.947
1709,87,397,F2529,26,F,FL,3057.1,492,Yes,Away,50.952
1710,27,144,M6064,62,M,ME,3057.2,492,Yes,Maine,50.953
1711,146,201,M1519,17,M,ME,3057.3,493,Yes,Maine,50.955
1712,166,412,M4044,40,M,ME,3057.5,493,Yes,Maine,50.958
1713,150,357,M4549,45,M,ME,3057.6,493,Yes,Maine,50.96
1714,60,394,F4044,41,F,IA,3058,493,Yes,Away,50.967
1715,10,62,M6569,66,M,ME,3058.6,493,Yes,Maine,50.977
1716,142,316,M3034,31,M,MD,3058.9,493,Yes,Away,50.982
1717,167,412,M4044,44,M,MA,3059,493,Yes,Away,50.983
1718,89,471,F3034,31,F,ME,3059.2,493,Yes,Maine,50.987
1719,151,357,M4549,48,M,ME,3059.2,493,Yes,Maine,50.987
1720,88,397,F2529,26,F,ME,3059.9,493,Yes,Maine,50.998
1721,143,316,M3034,33,M,CT,3059.9,493,Yes,Away,50.998
1722,134,246,M2529,25,M,ME,3060.1,493,Yes,Maine,51.002
1723,61,426,F3539,35,F,ME,3060.4,493,Yes,Maine,51.007
1724,62,426,F3539,39,F,ME,3060.5,493,Yes,Maine,51.008
1725,64,235,M5559,58,M,VT,3060.7,493,Yes,Away,51.012
1726,168,412,M4044,42,M,ME,3061,493,Yes,Maine,51.017
1727,117,186,M2024,23,M,ME,3061.8,493,Yes,Maine,51.03
1728,135,246,M2529,26,M,ME,3062.9,493,Yes,Maine,51.048
1729,153,335,M3539,39,M,ME,3063,493,Yes,Maine,51.05
1730,154,335,M3539,38,M,ME,3064.3,494,Yes,Maine,51.072
1731,169,412,M4044,42,M,ME,3064.6,494,Yes,Maine,51.077
1732,65,235,M5559,55,M,ME,3064.6,494,Yes,Maine,51.077
1733,152,357,M4549,49,M,ME,3065,494,Yes,Maine,51.083
1734,144,316,M3034,31,M,ME,3065.8,494,Yes,Maine,51.097
1735,136,246,M2529,29,M,ME,3065.8,494,Yes,Maine,51.097
1736,89,397,F2529,29,F,ME,3065.9,494,Yes,Maine,51.098
1737,145,316,M3034,33,M,ME,3066.1,494,Yes,Maine,51.102
1738,90,471,F3034,30,F,ME,3066.2,494,Yes,Maine,51.103
1739,155,335,M3539,35,M,NH,3066.2,494,Yes,Away,51.103
1740,118,186,M2024,21,M,ME,3066.3,494,Yes,Maine,51.105
1741,91,471,F3034,34,F,ME,3066.7,494,Yes,Maine,51.112
1742,146,316,M3034,34,M,ME,3067.1,494,Yes,Maine,51.118
1743,90,397,F2529,27,F,ME,3067.1,494,Yes,Maine,51.118
1744,10,142,F5559,56,F,ME,3067.8,494,Yes,Maine,51.13
1745,153,357,M4549,48,M,ME,3067.9,494,Yes,Maine,51.132
1746,91,397,F2529,25,F,ME,3068,494,Yes,Maine,51.133
1747,170,412,M4044,43,M,MA,3068.1,494,Yes,Away,51.135
1748,125,333,M5054,50,M,ME,3068.7,494,Yes,Maine,51.145
1749,92,397,F2529,29,F,ME,3069,494,Yes,Maine,51.15
1750,154,357,M4549,49,M,WI,3069.1,494,Yes,Away,51.152
1751,13,229,F5054,52,F,ME,3069.2,494,Yes,Maine,51.153
1752,155,357,M4549,47,M,ME,3069.4,494,Yes,Maine,51.157
1753,156,357,M4549,49,M,ME,3069.5,494,Yes,Maine,51.158
1754,126,333,M5054,50,M,ME,3069.6,494,Yes,Maine,51.16
1755,11,62,M6569,65,M,ME,3069.6,494,Yes,Maine,51.16
1756,171,412,M4044,40,M,AZ,3069.7,495,Yes,Away,51.162
1757,92,471,F3034,32,F,ME,3070,495,Yes,Maine,51.167
1758,63,426,F3539,35,F,ME,3070,495,Yes,Maine,51.167
1759,66,235,M5559,59,M,MA,3071,495,Yes,Away,51.183
1760,172,412,M4044,40,M,ME,3071.1,495,Yes,Maine,51.185
1761,147,316,M3034,32,M,ME,3071.1,495,Yes,Maine,51.185
1762,156,335,M3539,38,M,ME,3071.2,495,Yes,Maine,51.187
1763,173,412,M4044,41,M,ME,3071.5,495,Yes,Maine,51.192
1764,157,335,M3539,35,M,ME,3072.3,495,Yes,Maine,51.205
1765,174,412,M4044,41,M,ME,3072.5,495,Yes,Maine,51.208
1766,157,357,M4549,45,M,ME,3072.8,495,Yes,Maine,51.213
1767,158,335,M3539,35,M,ME,3073.1,495,Yes,Maine,51.218
1768,93,397,F2529,29,F,ME,3073.2,495,Yes,Maine,51.22
1769,175,412,M4044,42,M,ME,3073.2,495,Yes,Maine,51.22
1770,50,325,F4549,45,F,ME,3073.2,495,Yes,Maine,51.22
1771,159,335,M3539,38,M,ME,3073.4,495,Yes,Maine,51.223
1772,14,229,F5054,52,F,ME,3073.8,495,Yes,Maine,51.23
1773,158,357,M4549,49,M,ME,3074,495,Yes,Maine,51.233
1774,67,235,M5559,58,M,ME,3074.2,495,Yes,Maine,51.237
1775,55,237,F2024,21,F,ME,3074.6,495,Yes,Maine,51.243
1776,160,335,M3539,39,M,ME,3074.9,495,Yes,Maine,51.248
1777,93,471,F3034,34,F,ME,3075.1,495,Yes,Maine,51.252
1778,51,325,F4549,46,F,NY,3076.2,496,Yes,Away,51.27
1779,119,186,M2024,24,M,ME,3077,496,Yes,Maine,51.283
1780,161,335,M3539,35,M,ME,3077.1,496,Yes,Maine,51.285
1781,94,397,F2529,26,F,ME,3077.5,496,Yes,Maine,51.292
1782,94,471,F3034,33,F,ME,3077.7,496,Yes,Maine,51.295
1783,95,471,F3034,34,F,ME,3078.3,496,Yes,Maine,51.305
1784,11,142,F5559,59,F,NH,3079.4,496,Yes,Away,51.323
1785,120,186,M2024,20,M,NH,3079.4,496,Yes,Away,51.323
1786,95,397,F2529,26,F,ME,3079.9,496,Yes,Maine,51.332
1787,127,333,M5054,50,M,ME,3080.1,496,Yes,Maine,51.335
1788,176,412,M4044,43,M,ME,3081.4,496,Yes,Maine,51.357
1789,96,397,F2529,28,F,ME,3081.8,496,Yes,Maine,51.363
1790,128,333,M5054,52,M,ME,3081.9,496,Yes,Maine,51.365
1791,148,316,M3034,31,M,MD,3081.9,496,Yes,Away,51.365
1792,129,333,M5054,54,M,CT,3082,496,Yes,Away,51.367
1793,5,72,F6064,60,F,ME,3082.2,497,Yes,Maine,51.37
1794,64,426,F3539,39,F,ME,3082.6,497,Yes,Maine,51.377
1795,162,335,M3539,39,M,ME,3082.8,497,Yes,Maine,51.38
1796,163,335,M3539,35,M,ME,3083.1,497,Yes,Maine,51.385
1797,137,246,M2529,29,M,ME,3083.4,497,Yes,Maine,51.39
1798,164,335,M3539,39,M,NY,3083.6,497,Yes,Away,51.393
1799,130,333,M5054,52,M,ME,3083.7,497,Yes,Maine,51.395
1800,177,412,M4044,41,M,ME,3083.7,497,Yes,Maine,51.395
1801,165,335,M3539,38,M,VA,3084,497,Yes,Away,51.4
1802,96,471,F3034,33,F,ME,3084.4,497,Yes,Maine,51.407
1803,166,335,M3539,39,M,ME,3084.8,497,Yes,Maine,51.413
1804,131,333,M5054,53,M,ME,3084.8,497,Yes,Maine,51.413
1805,68,235,M5559,55,M,ME,3085.5,497,Yes,Maine,51.425
1806,65,426,F3539,37,F,ME,3086.7,497,Yes,Maine,51.445
1807,167,335,M3539,37,M,MA,3087.6,497,Yes,Away,51.46
1808,178,412,M4044,44,M,ME,3088,497,Yes,Maine,51.467
1809,179,412,M4044,42,M,ME,3088,497,Yes,Maine,51.467
1810,97,397,F2529,29,F,NY,3088.2,497,Yes,Away,51.47
1811,180,412,M4044,43,M,ME,3088.4,498,Yes,Maine,51.473
1812,66,426,F3539,35,F,NY,3089.1,498,Yes,Away,51.485
1813,67,426,F3539,39,F,NC,3089.1,498,Yes,Away,51.485
1814,149,316,M3034,31,M,ME,3090.9,498,Yes,Maine,51.515
1815,132,333,M5054,51,M,ME,3091.5,498,Yes,Maine,51.525
1816,61,394,F4044,41,F,MA,3092.1,498,Yes,Away,51.535
1817,159,357,M4549,49,M,ME,3093.6,498,Yes,Maine,51.56
1818,133,333,M5054,53,M,ME,3093.7,498,Yes,Maine,51.562
1819,160,357,M4549,47,M,ME,3093.7,498,Yes,Maine,51.562
1820,68,426,F3539,35,F,ME,3094,498,Yes,Maine,51.567
1821,181,412,M4044,44,M,ME,3094,498,Yes,Maine,51.567
1822,62,394,F4044,42,F,ME,3094.4,498,Yes,Maine,51.573
1823,69,426,F3539,36,F,ME,3094.4,498,Yes,Maine,51.573
1824,161,357,M4549,46,M,ME,3094.6,499,Yes,Maine,51.577
1825,52,325,F4549,45,F,ME,3095.3,499,Yes,Maine,51.588
1826,98,397,F2529,25,F,ME,3095.4,499,Yes,Maine,51.59
1827,17,57,M0114,14,M,ME,3095.5,499,Yes,Maine,51.592
1828,28,144,M6064,62,M,ME,3095.8,499,Yes,Maine,51.597
1829,162,357,M4549,47,M,MA,3096.1,499,Yes,Away,51.602
1830,69,235,M5559,56,M,ME,3096.3,499,Yes,Maine,51.605
1831,99,397,F2529,26,F,MA,3096.4,499,Yes,Away,51.607
1832,147,201,M1519,16,M,ME,3096.4,499,Yes,Maine,51.607
1833,148,201,M1519,16,M,ME,3096.6,499,Yes,Maine,51.61
1834,97,471,F3034,30,F,ME,3096.9,499,Yes,Maine,51.615
1835,121,186,M2024,23,M,ME,3097,499,Yes,Maine,51.617
1836,149,201,M1519,16,M,ME,3097.5,499,Yes,Maine,51.625
1837,53,325,F4549,48,F,ME,3097.5,499,Yes,Maine,51.625
1838,163,357,M4549,48,M,ME,3097.6,499,Yes,Maine,51.627
1839,98,471,F3034,33,F,CA,3097.7,499,Yes,Away,51.628
1840,63,394,F4044,43,F,MA,3098.1,499,Yes,Away,51.635
1841,100,397,F2529,29,F,ME,3098.7,499,Yes,Maine,51.645
1842,70,426,F3539,35,F,ME,3099,499,Yes,Maine,51.65
1843,64,394,F4044,43,F,ME,3099.5,499,Yes,Maine,51.658
1844,150,316,M3034,32,M,ME,3099.7,499,Yes,Maine,51.662
1845,71,426,F3539,38,F,ME,3100.6,499,Yes,Maine,51.677
1846,72,426,F3539,37,F,ME,3100.7,499,Yes,Maine,51.678
1847,164,357,M4549,48,M,ME,3100.9,500,Yes,Maine,51.682
1848,182,412,M4044,40,M,MA,3101.1,500,Yes,Away,51.685
1849,70,235,M5559,58,M,NH,3102.3,500,Yes,Away,51.705
1850,165,357,M4549,45,M,NY,3102.5,500,Yes,Away,51.708
1851,99,471,F3034,34,F,ME,3102.5,500,Yes,Maine,51.708
1852,15,229,F5054,50,F,ME,3103,500,Yes,Maine,51.717
1853,73,426,F3539,39,F,ME,3103.1,500,Yes,Maine,51.718
1854,134,333,M5054,50,M,ME,3103.4,500,Yes,Maine,51.723
1855,168,335,M3539,38,M,MA,3103.4,500,Yes,Away,51.723
1856,183,412,M4044,41,M,ME,3103.8,500,Yes,Maine,51.73
1857,138,246,M2529,25,M,ME,3103.9,500,Yes,Maine,51.732
1858,65,394,F4044,40,F,ME,3104.4,500,Yes,Maine,51.74
1859,74,426,F3539,39,F,ME,3104.4,500,Yes,Maine,51.74
1860,100,471,F3034,34,F,ME,3104.6,500,Yes,Maine,51.743
1861,151,316,M3034,33,M,ME,3104.7,500,Yes,Maine,51.745
1862,166,357,M4549,47,M,ME,3105,500,Yes,Maine,51.75
1863,56,237,F2024,24,F,ME,3105.2,500,Yes,Maine,51.753
1864,12,62,M6569,67,M,ME,3105.3,500,Yes,Maine,51.755
1865,135,333,M5054,50,M,ME,3105.4,500,Yes,Maine,51.757
1866,139,246,M2529,27,M,ME,3105.8,500,Yes,Maine,51.763
1867,75,426,F3539,36,F,ME,3105.9,500,Yes,Maine,51.765
1868,66,394,F4044,44,F,ME,3105.9,500,Yes,Maine,51.765
1869,29,144,M6064,60,M,NH,3106,500,Yes,Away,51.767
1870,167,357,M4549,48,M,ME,3106.1,500,Yes,Maine,51.768
1871,150,201,M1519,19,M,ME,3106.3,500,Yes,Maine,51.772
1872,30,144,M6064,63,M,ME,3106.6,500,Yes,Maine,51.777
1873,54,325,F4549,45,F,ME,3106.6,500,Yes,Maine,51.777
1874,71,235,M5559,57,M,CT,3106.8,500,Yes,Away,51.78
1875,76,426,F3539,35,F,WI,3107.2,501,Yes,Away,51.787
1876,77,426,F3539,38,F,ME,3107.5,501,Yes,Maine,51.792
1877,136,333,M5054,54,M,ME,3108.3,501,Yes,Maine,51.805
1878,101,397,F2529,25,F,NH,3108.9,501,Yes,Away,51.815
1879,67,394,F4044,41,F,ME,3108.9,501,Yes,Maine,51.815
1880,140,246,M2529,28,M,ME,3109.2,501,Yes,Maine,51.82
1881,78,426,F3539,36,F,ME,3109.8,501,Yes,Maine,51.83
1882,57,237,F2024,23,F,ME,3110.1,501,Yes,Maine,51.835
1883,72,235,M5559,55,M,ME,3111,501,Yes,Maine,51.85
1884,184,412,M4044,41,M,DE,3111.1,501,Yes,Away,51.852
1885,101,471,F3034,33,F,DC,3111.8,501,Yes,Away,51.863
1886,16,229,F5054,52,F,VT,3112.7,501,Yes,Away,51.878
1887,141,246,M2529,28,M,ME,3112.9,501,Yes,Maine,51.882
1888,68,394,F4044,41,F,ME,3112.9,501,Yes,Maine,51.882
1889,151,201,M1519,19,M,ME,3113.1,501,Yes,Maine,51.885
1890,58,237,F2024,22,F,ME,3113.3,502,Yes,Maine,51.888
1891,13,62,M6569,69,M,ME,3113.4,502,Yes,Maine,51.89
1892,44,174,F1519,19,F,ME,3114,502,Yes,Maine,51.9
1893,102,471,F3034,30,F,ME,3114.1,502,Yes,Maine,51.902
1894,102,397,F2529,25,F,MA,3114.5,502,Yes,Away,51.908
1895,18,57,M0114,14,M,ME,3114.5,502,Yes,Maine,51.908
1896,59,237,F2024,20,F,ME,3114.7,502,Yes,Maine,51.912
1897,168,357,M4549,48,M,CANADA,3115.2,502,No,Away,51.92
1898,152,316,M3034,33,M,DC,3115.2,502,Yes,Away,51.92
1899,19,57,M0114,14,M,ME,3115.3,502,Yes,Maine,51.922
1900,153,316,M3034,34,M,ME,3115.4,502,Yes,Maine,51.923
1901,169,357,M4549,46,M,ME,3115.9,502,Yes,Maine,51.932
1902,137,333,M5054,52,M,ME,3115.9,502,Yes,Maine,51.932
1903,154,316,M3034,31,M,ME,3116.2,502,Yes,Maine,51.937
1904,142,246,M2529,29,M,ME,3116.3,502,Yes,Maine,51.938
1905,103,471,F3034,34,F,ME,3116.4,502,Yes,Maine,51.94
1906,103,397,F2529,26,F,ME,3116.7,502,Yes,Maine,51.945
1907,104,397,F2529,25,F,NY,3117.1,502,Yes,Away,51.952
1908,138,333,M5054,50,M,ME,3117.3,502,Yes,Maine,51.955
1909,139,333,M5054,51,M,ME,3117.4,502,Yes,Maine,51.957
1910,170,357,M4549,47,M,ME,3117.8,502,Yes,Maine,51.963
1911,140,333,M5054,51,M,PA,3117.8,502,Yes,Away,51.963
1912,141,333,M5054,53,M,MA,3118.2,502,Yes,Away,51.97
1913,171,357,M4549,49,M,ME,3118.2,502,Yes,Maine,51.97
1914,185,412,M4044,40,M,ME,3118.4,502,Yes,Maine,51.973
1915,104,471,F3034,33,F,NH,3119.1,502,Yes,Away,51.985
1916,17,229,F5054,54,F,NH,3119.4,503,Yes,Away,51.99
1917,105,397,F2529,29,F,MA,3119.8,503,Yes,Away,51.997
1918,79,426,F3539,36,F,MA,3120.4,503,Yes,Away,52.007
1919,60,237,F2024,23,F,ME,3120.8,503,Yes,Maine,52.013
1920,18,229,F5054,54,F,ME,3120.8,503,Yes,Maine,52.013
1921,61,237,F2024,22,F,MA,3120.9,503,Yes,Away,52.015
1922,73,235,M5559,57,M,ME,3121.3,503,Yes,Maine,52.022
1923,155,316,M3034,33,M,ME,3121.4,503,Yes,Maine,52.023
1924,20,57,M0114,14,M,ME,3122.1,503,Yes,Maine,52.035
1925,105,471,F3034,30,F,ME,3122.3,503,Yes,Maine,52.038
1926,14,62,M6569,67,M,ME,3122.6,503,Yes,Maine,52.043
1927,62,237,F2024,21,F,ME,3122.7,503,Yes,Maine,52.045
1928,122,186,M2024,24,M,ME,3122.7,503,Yes,Maine,52.045
1929,106,471,F3034,31,F,MA,3122.9,503,Yes,Away,52.048
1930,69,394,F4044,41,F,ME,3123.2,503,Yes,Maine,52.053
1931,80,426,F3539,36,F,ME,3123.3,503,Yes,Maine,52.055
1932,156,316,M3034,32,M,ME,3124.1,503,Yes,Maine,52.068
1933,74,235,M5559,57,M,ME,3124.3,503,Yes,Maine,52.072
1934,152,201,M1519,16,M,ME,3124.3,503,Yes,Maine,52.072
1935,186,412,M4044,42,M,ME,3124.8,503,Yes,Maine,52.08
1936,106,397,F2529,27,F,ME,3125.4,503,Yes,Maine,52.09
1937,6,33,F0114,14,F,ME,3125.6,504,Yes,Maine,52.093
1938,63,237,F2024,21,F,ME,3125.8,504,Yes,Maine,52.097
1939,107,471,F3034,30,F,ME,3125.9,504,Yes,Maine,52.098
1940,169,335,M3539,35,M,ME,3125.9,504,Yes,Maine,52.098
1941,70,394,F4044,41,F,ME,3126.3,504,Yes,Maine,52.105
1942,153,201,M1519,17,M,ME,3126.6,504,Yes,Maine,52.11
1943,64,237,F2024,23,F,ME,3127.2,504,Yes,Maine,52.12
1944,81,426,F3539,36,F,ME,3127.4,504,Yes,Maine,52.123
1945,45,174,F1519,15,F,ME,3127.8,504,Yes,Maine,52.13
1946,154,201,M1519,18,M,ME,3127.8,504,Yes,Maine,52.13
1947,46,174,F1519,18,F,ME,3127.8,504,Yes,Maine,52.13
1948,55,325,F4549,48,F,VA,3128,504,Yes,Away,52.133
1949,143,246,M2529,28,M,ME,3128.1,504,Yes,Maine,52.135
1950,108,471,F3034,31,F,ME,3128.1,504,Yes,Maine,52.135
1951,109,471,F3034,34,F,ME,3128.2,504,Yes,Maine,52.137
1952,144,246,M2529,28,M,NY,3128.2,504,Yes,Away,52.137
1953,71,394,F4044,43,F,ME,3128.5,504,Yes,Maine,52.142
1954,142,333,M5054,53,M,ME,3129.3,504,Yes,Maine,52.155
1955,31,144,M6064,62,M,ME,3129.4,504,Yes,Maine,52.157
1956,107,397,F2529,25,F,ME,3129.5,504,Yes,Maine,52.158
1957,157,316,M3034,30,M,MA,3130.4,504,Yes,Away,52.173
1958,65,237,F2024,22,F,ME,3130.9,504,Yes,Maine,52.182
1959,19,229,F5054,51,F,ME,3131,504,Yes,Maine,52.183
1960,110,471,F3034,31,F,ME,3131.1,504,Yes,Maine,52.185
1961,66,237,F2024,24,F,ME,3131.3,504,Yes,Maine,52.188
1962,72,394,F4044,44,F,ME,3132.9,505,Yes,Maine,52.215
1963,187,412,M4044,41,M,VT,3132.9,505,Yes,Away,52.215
1964,108,397,F2529,27,F,ME,3132.9,505,Yes,Maine,52.215
1965,172,357,M4549,49,M,ME,3133,505,Yes,Maine,52.217
1966,56,325,F4549,47,F,ME,3133.2,505,Yes,Maine,52.22
1967,73,394,F4044,40,F,ME,3134.2,505,Yes,Maine,52.237
1968,145,246,M2529,27,M,MA,3134.5,505,Yes,Away,52.242
1969,143,333,M5054,53,M,ME,3134.5,505,Yes,Maine,52.242
1970,123,186,M2024,24,M,ME,3134.6,505,Yes,Maine,52.243
1971,155,201,M1519,19,M,ME,3135.3,505,Yes,Maine,52.255
1972,82,426,F3539,39,F,ME,3136,505,Yes,Maine,52.267
1973,67,237,F2024,20,F,ME,3136.6,505,Yes,Maine,52.277
1974,144,333,M5054,52,M,ME,3136.8,505,Yes,Maine,52.28
1975,124,186,M2024,21,M,ME,3137.1,505,Yes,Maine,52.285
1976,188,412,M4044,41,M,ME,3138.1,506,Yes,Maine,52.302
1977,83,426,F3539,38,F,ME,3138.1,506,Yes,Maine,52.302
1978,146,246,M2529,26,M,ME,3138.2,506,Yes,Maine,52.303
1979,74,394,F4044,40,F,ME,3138.4,506,Yes,Maine,52.307
1980,75,394,F4044,40,F,ME,3139.2,506,Yes,Maine,52.32
1981,156,201,M1519,17,M,ME,3139.7,506,Yes,Maine,52.328
1982,75,235,M5559,56,M,ME,3139.8,506,Yes,Maine,52.33
1983,1,29,F6569,68,F,ME,3140.1,506,Yes,Maine,52.335
1984,173,357,M4549,45,M,ME,3140.3,506,Yes,Maine,52.338
1985,111,471,F3034,32,F,NY,3140.4,506,Yes,Away,52.34
1986,189,412,M4044,43,M,ME,3140.6,506,Yes,Maine,52.343
1987,109,397,F2529,27,F,ME,3141.1,506,Yes,Maine,52.352
1988,110,397,F2529,25,F,ME,3141.2,506,Yes,Maine,52.353
1989,174,357,M4549,49,M,ME,3141.8,506,Yes,Maine,52.363
1990,190,412,M4044,40,M,ME,3142.8,506,Yes,Maine,52.38
1991,175,357,M4549,48,M,ME,3143.5,506,Yes,Maine,52.392
1992,32,144,M6064,64,M,NH,3143.8,506,Yes,Away,52.397
1993,68,237,F2024,20,F,ME,3144,506,Yes,Maine,52.4
1994,145,333,M5054,51,M,ME,3144,506,Yes,Maine,52.4
1995,176,357,M4549,46,M,ME,3144.1,506,Yes,Maine,52.402
1996,146,333,M5054,53,M,ME,3144.2,506,Yes,Maine,52.403
1997,76,235,M5559,58,M,SC,3144.7,507,Yes,Away,52.412
1998,57,325,F4549,48,F,ME,3145.2,507,Yes,Maine,52.42
1999,158,316,M3034,31,M,ME,3146,507,Yes,Maine,52.433
2000,157,201,M1519,17,M,ME,3146.1,507,Yes,Maine,52.435
2001,170,335,M3539,37,M,ME,3146.7,507,Yes,Maine,52.445
2002,112,471,F3034,30,F,ME,3146.8,507,Yes,Maine,52.447
2003,159,316,M3034,32,M,ME,3147,507,Yes,Maine,52.45
2004,171,335,M3539,37,M,ME,3147.2,507,Yes,Maine,52.453
2005,84,426,F3539,37,F,ME,3147.9,507,Yes,Maine,52.465
2006,147,246,M2529,26,M,ME,3148.4,507,Yes,Maine,52.473
2007,160,316,M3034,30,M,NH,3148.5,507,Yes,Away,52.475
2008,33,144,M6064,64,M,ME,3148.8,507,Yes,Maine,52.48
2009,77,235,M5559,55,M,ME,3148.8,507,Yes,Maine,52.48
2010,111,397,F2529,28,F,ME,3148.9,507,Yes,Maine,52.482
2011,112,397,F2529,29,F,CT,3148.9,507,Yes,Away,52.482
2012,161,316,M3034,31,M,NY,3149.1,507,Yes,Away,52.485
2013,113,397,F2529,27,F,MA,3149.6,507,Yes,Away,52.493
2014,85,426,F3539,36,F,MA,3149.6,507,Yes,Away,52.493
2015,113,471,F3034,30,F,ME,3149.7,507,Yes,Maine,52.495
2016,172,335,M3539,39,M,ME,3149.8,507,Yes,Maine,52.497
2017,191,412,M4044,41,M,ME,3150,507,Yes,Maine,52.5
2018,34,144,M6064,60,M,ME,3150.2,507,Yes,Maine,52.503
2019,147,333,M5054,50,M,ME,3150.6,508,Yes,Maine,52.51
2020,78,235,M5559,59,M,ME,3150.7,508,Yes,Maine,52.512
2021,192,412,M4044,40,M,ME,3151,508,Yes,Maine,52.517
2022,173,335,M3539,37,M,NH,3151.3,508,Yes,Away,52.522
2023,114,397,F2529,28,F,ME,3151.6,508,Yes,Maine,52.527
2024,76,394,F4044,41,F,ME,3151.7,508,Yes,Maine,52.528
2025,77,394,F4044,44,F,ME,3151.9,508,Yes,Maine,52.532
2026,114,471,F3034,34,F,ME,3153.1,508,Yes,Maine,52.552
2027,86,426,F3539,35,F,ME,3153.2,508,Yes,Maine,52.553
2028,69,237,F2024,23,F,ME,3153.7,508,Yes,Maine,52.562
2029,58,325,F4549,47,F,VA,3153.8,508,Yes,Away,52.563
2030,115,397,F2529,25,F,ME,3153.8,508,Yes,Maine,52.563
2031,87,426,F3539,35,F,NH,3154.3,508,Yes,Away,52.572
2032,158,201,M1519,17,M,ME,3154.7,508,Yes,Maine,52.578
2033,115,471,F3034,30,F,ME,3154.8,508,Yes,Maine,52.58
2034,20,229,F5054,52,F,ME,3155.9,508,Yes,Maine,52.598
2035,174,335,M3539,37,M,ME,3156.3,508,Yes,Maine,52.605
2036,88,426,F3539,38,F,ME,3156.4,508,Yes,Maine,52.607
2037,193,412,M4044,41,M,ME,3156.9,509,Yes,Maine,52.615
2038,116,471,F3034,34,F,ME,3157,509,Yes,Maine,52.617
2039,78,394,F4044,40,F,ME,3158,509,Yes,Maine,52.633
2040,117,471,F3034,34,F,ME,3158.3,509,Yes,Maine,52.638
2041,35,144,M6064,63,M,ME,3158.8,509,Yes,Maine,52.647
2042,79,394,F4044,40,F,ME,3159.7,509,Yes,Maine,52.662
2043,194,412,M4044,40,M,ME,3160,509,Yes,Maine,52.667
2044,89,426,F3539,39,F,ME,3160.8,509,Yes,Maine,52.68
2045,47,174,F1519,19,F,ME,3161,509,Yes,Maine,52.683
2046,118,471,F3034,30,F,ME,3161,509,Yes,Maine,52.683
2047,80,394,F4044,44,F,ME,3161,509,Yes,Maine,52.683
2048,162,316,M3034,33,M,MA,3161.1,509,Yes,Away,52.685
2049,119,471,F3034,30,F,MA,3161.6,509,Yes,Away,52.693
2050,163,316,M3034,32,M,ME,3161.7,509,Yes,Maine,52.695
2051,148,246,M2529,27,M,MA,3161.7,509,Yes,Away,52.695
2052,21,57,M0114,11,M,ME,3162.4,509,Yes,Maine,52.707
2053,148,333,M5054,50,M,ME,3162.8,509,Yes,Maine,52.713
2054,149,333,M5054,52,M,MA,3162.9,510,Yes,Away,52.715
